City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,pitanga,-24.7572,-51.7614,300.16,49,100,0.39,BR,1712860315
335,leshan,29.5623,103.7639,293.3,76,100,0.74,CN,1712860316
336,palu,-0.8917,119.8707,297.64,98,100,0.41,ID,1712860316
337,beyneu,45.3167,55.2,284.99,59,0,7.61,KZ,1712860316
338,kenai,60.5544,-151.2583,274.2,96,100,4.12,US,1712860316
339,taoudenni,22.6783,-3.9836,305.81,10,0,4.32,ML,1712860317
340,yorosso,12.3536,-4.7761,306.23,32,100,1.84,ML,1712860317
341,evanston,42.0411,-87.6901,290.22,57,100,6.17,US,1712860057
342,kefamenanu,-9.4467,124.4781,293.01,93,99,1.34,ID,1712860317
343,ratnagiri,16.9833,73.3,298.85,73,71,2.82,IN,1712860317
344,juan griego,11.0817,-63.9655,303.63,62,0,7.57,VE,1712860318
345,strezhevoy,60.7333,77.5889,258.69,92,19,1.34,RU,1712860318
346,bontang,0.1333,117.5,300.05,83,83,5.12,ID,1712860318
347,ghatkesar,17.4494,78.6853,302.0,50,95,4.7,IN,1712860318
348,nova vicosa,-17.8919,-39.3719,301.51,69,22,3.93,BR,1712860114
349,twon-brass,4.3151,6.2418,302.35,76,100,7.06,NG,1712860319
350,al bukayriyah,26.1442,43.6593,299.02,26,8,6.32,SA,1712860319
351,gamba,-2.65,10.0,299.95,86,100,2.9,GA,1712860319
352,fort mcmurray,56.7268,-111.381,284.92,40,0,6.17,CA,1712860320
353,villa gesell,-37.2639,-56.973,287.62,58,95,4.43,AR,1712860237
354,greenville,35.6127,-77.3663,294.9,91,100,9.77,US,1712860253
355,palmas,-10.2128,-48.3603,300.08,83,20,2.57,BR,1712860045
356,dryden,49.7833,-92.7503,282.31,66,100,3.09,CA,1712860248
357,senador guiomard,-10.1522,-67.7392,302.01,58,52,2.74,BR,1712860321
358,tralee,52.2704,-9.7026,286.02,95,100,4.05,IE,1712860321
359,buala,-8.145,159.5921,299.94,81,100,2.03,SB,1712860321
360,lively,46.4334,-81.1498,287.66,75,100,4.17,CA,1712860322
361,progreso,21.2833,-89.6667,307.21,77,85,7.22,MX,1712860322
362,srikakulam,18.3,83.9,300.21,74,5,1.87,IN,1712860322
363,geraldton,-28.7667,114.6,294.38,60,1,7.2,AU,1712860230
